simlarity_rate,average_cosine_similarity,average_bleu_score
[0.85],[0.8243633645921885],[0.12184459135753477]
[0.78],[0.7888560110526579],[0.11544810894736716]
[0.82],[0.8375135168880089],[0.1115288335276233]
[0.83],[0.8313005260406932],[0.16261395140489643]
[0.76],[0.6265748236747577],[0.01709309081649125]
[0.54],[0.5425390957399403],[0.026949017161309624]
